t=2025-03-08T19:26:59+0100 lvl=info msg="no configuration paths supplied"
t=2025-03-08T19:26:59+0100 lvl=info msg="using configuration at default config path" path=/home/daniel-wardak/.config/ngrok/ngrok.yml
t=2025-03-08T19:26:59+0100 lvl=info msg="open config file" path=/home/daniel-wardak/.config/ngrok/ngrok.yml err=nil
t=2025-03-08T19:26:59+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-03-08T19:27:00+0100 lvl=info msg="client session established" obj=tunnels.session
t=2025-03-08T19:27:00+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-03-08T19:27:00+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=//localhost:22 url=tcp://0.tcp.eu.ngrok.io:14450
t=2025-03-08T19:27:04+0100 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.equinox.io/check\": context deadline exceeded"
t=2025-03-08T19:31:11+0100 lvl=info msg="join connections" obj=join id=e779a6a48b4e l=127.0.0.1:22 r=37.30.6.48:31458
t=2025-03-08T19:31:24+0100 lvl=info msg="join connections" obj=join id=85e071d53848 l=127.0.0.1:22 r=159.65.226.243:44418
t=2025-03-08T19:36:26+0100 lvl=info msg="join connections" obj=join id=dd61612a8b9b l=127.0.0.1:22 r=159.65.226.243:53384
t=2025-03-08T19:41:24+0100 lvl=info msg="join connections" obj=join id=685fc89b9737 l=127.0.0.1:22 r=159.65.226.243:53228
t=2025-03-08T19:46:26+0100 lvl=info msg="join connections" obj=join id=2e2add707c6c l=127.0.0.1:22 r=159.65.226.243:48078
t=2025-03-08T19:51:29+0100 lvl=info msg="join connections" obj=join id=15a50cf13bfc l=127.0.0.1:22 r=159.65.226.243:53074
t=2025-03-08T19:56:25+0100 lvl=info msg="join connections" obj=join id=b4ef232edfb2 l=127.0.0.1:22 r=159.65.226.243:41892
t=2025-03-08T20:01:28+0100 lvl=info msg="join connections" obj=join id=003ea7b020af l=127.0.0.1:22 r=159.65.226.243:41742
